rennen,jahr,etappe,terrain,km,hm,ps,finisher,erste_gruppe,erste_gruppe_anteil,zeitgruppen,gruppengroesse_hinten,letzter_je_km,p5_je_km,p10_je_km,p25_je_km,p50_je_km,p75_je_km,p90_je_km,p100_je_km,rang10_je_km,rang20_je_km,rang30_je_km,rang50_je_km,rang75_je_km,rang100_je_km,rang150_je_km,ueber_zeitlimit
Vuelta,2016,4,Medium_Mountain,163.5,3196,180,195,1,0.005128205128205128,46,4.311111111111111,11.259938837920489,0.25688073394495414,0.7706422018348624,0.9785932721712538,5.467889908256881,5.467889908256881,5.467889908256881,11.259938837920489,0.25688073394495414,0.7706422018348624,0.7706422018348624,0.9785932721712538,3.9021406727828745,5.467889908256881,5.467889908256881,0
Vuelta,2016,5,Hilly_Difficult,171.3,2467,73,193,120,0.6217616580310881,19,4.055555555555555,2.6619964973730297,0.0,0.0,0.0,0.0,1.4127262113251604,1.535318155283129,2.6619964973730297,0.0,0.0,0.0,0.0,0.0,0.0,1.4769410391126678,0
Vuelta,2016,6,Medium_Mountain,163.2,2824,159,189,1,0.005291005291005291,27,7.230769230769231,10.08578431372549,0.17769607843137256,0.17769607843137256,0.9926470588235294,5.845588235294118,8.46200980392157,8.46200980392157,10.08578431372549,0.17769607843137256,0.17769607843137256,0.17769607843137256,1.1825980392156863,5.171568627450981,5.845588235294118,8.46200980392157,0
Vuelta,2016,7,Hilly_Difficult,158.5,2616,104,186,99,0.532258064516129,12,7.909090909090909,6.738170347003154,0.0,0.0,0.0,0.0,4.220820189274448,6.271293375394322,6.738170347003154,0.0,0.0,0.0,0.0,0.0,0.45425867507886436,4.220820189274448,0
Vuelta,2016,8,Hilly_Difficult,181.5,1279,119,186,1,0.005376344086021506,104,1.796116504854369,7.162534435261708,0.49586776859504134,1.8457300275482094,2.286501377410468,4.049586776859504,4.9476584022038566,5.3829201101928374,7.162534435261708,0.5730027548209367,1.862258953168044,1.9834710743801653,2.402203856749311,3.2506887052341598,4.5013774104683195,5.151515151515151,0
Vuelta,2016,9,Medium_Mountain,164.5,2780,193,182,1,0.005494505494505495,53,3.480769230769231,8.808510638297872,0.3890577507598784,1.0699088145896656,1.2462006079027355,3.0030395136778116,4.498480243161095,7.009118541033435,8.808510638297872,0.425531914893617,1.0699088145896656,1.1185410334346504,1.2705167173252279,2.2249240121580547,3.617021276595745,5.963525835866261,0
Vuelta,2017,10,Hilly_Difficult,164.8,1568,106,177,2,0.011299435028248588,27,6.730769230769231,6.389563106796116,1.1225728155339805,1.6504854368932038,2.1177184466019416,5.333737864077669,5.855582524271845,6.389563106796116,6.389563106796116,1.4502427184466018,1.6504854368932038,1.6504854368932038,2.5970873786407767,4.3203883495145625,5.430825242718446,6.389563106796116,0
Vuelta,2017,11,Mountain,187.5,3878,296,176,1,0.005681818181818182,55,3.240740740740741,10.949333333333334,0.33066666666666666,0.6666666666666666,5.546666666666667,8.469333333333333,10.144,10.144,10.949333333333334,0.39466666666666667,0.6666666666666666,1.76,5.594666666666667,7.642666666666667,8.469333333333333,10.144,0
Vuelta,2017,12,Medium_Mountain,160.1,2681,188,172,1,0.005813953488372093,28,6.333333333333333,8.269831355402873,1.061836352279825,2.9169269206745785,4.047470331043098,5.765146783260462,8.176139912554653,8.238600874453466,8.269831355402873,1.1242973141786383,2.9169269206745785,2.9606495940037476,4.722048719550282,5.765146783260462,6.695815115552779,8.213616489693942,0
Vuelta,2017,13,Hilly,198.4,1938,39,171,15,0.08771929824561403,50,3.183673469387755,3.850806451612903,0.0,0.035282258064516125,0.282258064516129,0.9929435483870968,1.3709677419354838,1.8699596774193548,3.850806451612903,0.0,0.035282258064516125,0.07560483870967742,0.4183467741935484,0.7459677419354839,1.1995967741935483,1.7288306451612903,0
